scores
47
43
42
42
35
42
42
42
43
42
42
42
42
42
42
43
42
42
42
42
42
58
42
42
41
42
42
42
42
42
42
42
42
42
42
43
43
43
42
42
42
43
42
42
42
42
42
43
42
42
43
42
42
42
42
42
42
42
42
42
42
42
43
42
54
42
42
42
43
42
43
42
55
42
42
42
49
43
42
43
42
42
42
53
43
53
42
42
42
42
42
43
42
42
42
42
42
42
43
43
42
42
42
42
42
42
43
42
42
42
42
42
42
42
42
